"Round","Platform","Date","Time of Day","Audience Name","Audience Gender","Audience Age Range","Audience Interests","Post Type","Post","Promo or Non-Promo","Cost","Impressions","Engagements","Shares","Clicks","CTR","CPC","Conversions","Revenue"
"1","Facebook","Mon 16 Oct","8:00 AM","","all","13-70","","Image","BUY a BUHI backpack and take it anywhere!  #BUHI","Promo","$0.00","35,576","309","360","379","1.07%","$0.00","23","$919.00"
"3","Twitter","Sun 29 Oct","3:00 PM","","all","13-30","halloween,bags,backpack,orange,black,candy","Holiday advertisement","Get the perfect bag to hold all your Halloween candy #halloween #bag #candy","Promo","$43.00","1,682","32","19","72","4.28%","$0.60","6","$255.00"
"3","Twitter","Mon 23 Oct","11:00 AM","","all","13-70","","Meme","Halloween is coming up, you don't want to miss out on our new Halloween BUHI bags! #halloween #bags #backpacks","Non-Promo","$0.00","1,581","5","123","37","2.34%","$0.00","1","$3.00"
"1","Twitter","Sun 22 Oct","3:00 PM","","all","13-70","","Image","Go stargazing with this cool backpack #stars #nightsky #stargazing","Promo","$0.00","1,574","34","27","43","2.73%","$0.00","6","$228.00"
"1","Twitter","Sat 21 Oct","2:00 PM","","all","13-70","","Image","Be ready for anything with a BUHI bag #readyornot","Promo","$0.00","3,080","60","55","79","2.56%","$0.00","4","$78.00"
"1","Twitter","Fri 20 Oct","4:00 PM","","all","13-70","","Image","What did you pack for your weekend adventures? #weekend #adventures","Promo","$0.00","1,909","33","16","43","2.25%","$0.00","8","$315.00"
"1","Twitter","Fri 20 Oct","8:00 AM","","all","13-70","","Video","Roam the city in BUHI style #BUHI #style","Promo","$0.00","7,932","133","121","172","2.17%","$0.00","8","$764.00"
"1","Twitter","Wed 18 Oct","5:30 PM","","all","13-70","","Image","With a BUHI bag, you look good doing anything. #lookingood #metro","Promo","$0.00","4,406","87","81","114","2.59%","$0.00","4","$157.00"
"1","Twitter","Wed 18 Oct","8:00 AM","","all","13-70","","Image","Wait for nothing, go out and adventure! #adventure #nowait","Promo","$0.00","5,779","125","111","157","2.72%","$0.00","6","$245.00"
"1","Twitter","Tue 17 Oct","11:00 AM","","all","13-70","","Article","All off your camera gear can fit in a BUHI bag so you can take nice photos anywhere. #photography #California #BUHI","Non-Promo","$0.00","4,030","67","39","63","1.56%","$0.00","1","$6.00"
"1","Twitter","Mon 16 Oct","7:00 PM","","all","13-70","","Image","What a great view and the Grand Canyon looks nice as well. #grandcanyon #BUHI #travel","Promo","$0.00","4,572","78","45","73","1.60%","$0.00","2","$80.00"
"1","Twitter","Mon 16 Oct","8:00 AM","","all","13-70","","Image","BUY a BUHI backpack and take it anywhere!  #BUHI","Promo","$0.00","5,683","125","115","163","2.87%","$0.00","6","$242.00"
"3","Instagram","Sun 29 Oct","3:00 PM","","all","13-70","","Holiday advertisement","Get the perfect bag to hold all your Halloween candy #halloween #bag #candy","Promo","$0.00","45,536","2,166","286","329","0.72%","$0.00","26","$1059.00"
"3","Instagram","Sat 28 Oct","9:00 AM","","all","13-70","","Image","Tell us what your doing this weekend! #travel #weekend #fun","Promo","$0.00","78,516","3,355","584","315","0.40%","$0.00","10","$194.00"
"3","Instagram","Fri 27 Oct","6:00 PM","","all","13-70","","Video","See what it's like to travel the city with a BUHI bag #travel #city #video #friday","Promo","$0.00","237,067","8,602","1,575","798","0.34%","$0.00","33","$3349.00"
"3","Instagram","Wed 25 Oct","5:00 PM","","all","13-70","","Image","You always look good with a BUHI bag so get one today! #lookingood #bag","Promo","$0.00","71,383","3,264","513","302","0.42%","$0.00","28","$1133.00"
"1","Instagram","Sun 22 Oct","9:00 AM","","all","13-70","","Video","See why people in Scotland LOVE BUHI bags #Scotland","Promo","$0.00","362,771","21,877","4,108","2,064","0.57%","$0.00","78","$1563.00"
"1","Instagram","Sun 22 Oct","3:00 PM","","all","13-70","","Image","Go stargazing with this cool backpack #stars #nightsky #stargazing","Promo","$0.00","81,246","3,743","595","346","0.43%","$0.00","47","$1872.00"
"1","Instagram","Fri 20 Oct","4:00 PM","","all","13-70","","Image","What did you pack for your weekend adventures? #weekend #adventures","Promo","$0.00","91,703","3,564","317","324","0.35%","$0.00","65","$2608.00"
"1","Instagram","Fri 20 Oct","8:00 AM","","all","13-70","","Video","Roam the city in BUHI style #BUHI #style","Promo","$0.00","383,653","13,724","2,538","1,249","0.33%","$0.00","63","$6328.00"
"1","Instagram","Thu 19 Oct","2:00 PM","","all","13-70","","Image","The perfect bag for a day at the gym. Get yours NOW #nodaysoff #workout","Promo","$0.00","152,352","7,176","1,154","688","0.45%","$0.00","50","$1000.00"
"1","Instagram","Wed 18 Oct","8:00 AM","","all","13-70","","Image","Wait for nothing, go out and adventure! #adventure #nowait","Promo","$0.00","289,132","13,672","2,541","1,282","0.44%","$0.00","49","$1960.00"
"1","Instagram","Tue 17 Oct","11:00 AM","","all","13-70","","Article","All off your camera gear can fit in a BUHI bag so you can take nice photos anywhere. #photography #California #BUHI","Non-Promo","$0.00","205,019","7,804","887","518","0.25%","$0.00","1","$45.00"
"1","Instagram","Mon 16 Oct","7:00 PM","","all","13-70","","Image","What a great view and the Grand Canyon looks nice as well. #grandcanyon #BUHI #travel","Promo","$0.00","227,692","8,605","977","583","0.26%","$0.00","17","$696.00"
"3","Pinterest","Fri 27 Oct","6:00 PM","","all","13-70","","Video","See what it's like to travel the city with a BUHI bag #travel #city #video #friday","Promo","$0.00","23,202","1,153","1,106","136","0.59%","$0.00","7","$733.00"
"3","Pinterest","Thu 26 Oct","2:00 PM","","all","13-35","travel,adventure,duffelbag,explore,backpacking","Image","BUHI bags can carry everything for your next outdoor adventure #duffelbag #fashion","Promo","$200.00","50,321","2,820","2,702","333","0.66%","$0.60","13","$263.00"
"3","Pinterest","Tue 24 Oct","2:00 PM","","all","13-70","","Image","BUHI bags can carry everything you need for the #duffelbag #fashion","Promo","$0.00","12,592","757","615","86","0.68%","$0.00","7","$139.00"
"3","YouTube","Fri 27 Oct","6:00 PM","","all","13-70","","Video","See what it's like to travel the city with a BUHI bag #travel #city #video #friday","Promo","$0.00","503","1","3","2","0.40%","$0.00","1","$13.00"
"1","YouTube","Sun 22 Oct","9:00 AM","","all","13-70","","Video","See why people in Scotland LOVE BUHI bags #Scotland","Promo","$0.00","789","4","7","6","0.76%","$0.00","1","$5.00"
"1","YouTube","Fri 20 Oct","8:00 AM","","all","13-70","","Video","Roam the city in BUHI style #BUHI #style","Promo","$0.00","807","2","4","4","0.50%","$0.00","1","$21.00"
